,,unit
Activity,Cultivation of paddy rice,EUR
Activity,Cultivation of wheat,EUR
Activity,Cultivation of cereal grains nec,EUR
Activity,"Cultivation of vegetables, fruit, nuts",EUR
Activity,Cultivation of oil seeds,EUR
Activity,"Cultivation of sugar cane, sugar beet",EUR
Activity,Cultivation of plant-based fibers,EUR
Activity,Cultivation of crops nec,EUR
Activity,Cattle farming,EUR
Activity,Pigs farming,EUR
Activity,Poultry farming,EUR
Activity,Meat animals nec,EUR
Activity,Animal products nec,EUR
Activity,Raw milk,EUR
Activity,"Wool, silk-worm cocoons",EUR
Activity,"Manure treatment (conventional), storage and land application",EUR
Activity,"Manure treatment (biogas), storage and land application",EUR
Activity,"Forestry, logging and related service activities (02)",EUR
Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",EUR
Activity,Mining of coal and lignite; extraction of peat (10),EUR
Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",EUR
Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",EUR
Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",EUR
Activity,Mining of uranium and thorium ores (12),EUR
Activity,Mining of iron ores,EUR
Activity,Mining of copper ores and concentrates,EUR
Activity,Mining of nickel ores and concentrates,EUR
Activity,Mining of aluminium ores and concentrates,EUR
Activity,Mining of precious metal ores and concentrates,EUR
Activity,"Mining of lead, zinc and tin ores and concentrates",EUR
Activity,Mining of other non-ferrous metal ores and concentrates,EUR
Activity,Quarrying of stone,EUR
Activity,Quarrying of sand and clay,EUR
Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",EUR
Activity,Processing of meat cattle,EUR
Activity,Processing of meat pigs,EUR
Activity,Processing of meat poultry,EUR
Activity,Production of meat products nec,EUR
Activity,Processing vegetable oils and fats,EUR
Activity,Processing of dairy products,EUR
Activity,Processed rice,EUR
Activity,Sugar refining,EUR
Activity,Processing of Food products nec,EUR
Activity,Manufacture of beverages,EUR
Activity,Manufacture of fish products,EUR
Activity,Manufacture of tobacco products (16),EUR
Activity,Manufacture of textiles (17),EUR
Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),EUR
Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",EUR
Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",EUR
Activity,Re-processing of secondary wood material into new wood material,EUR
Activity,Pulp,EUR
Activity,Re-processing of secondary paper into new pulp,EUR
Activity,Paper,EUR
Activity,"Publishing, printing and reproduction of recorded media (22)",EUR
Activity,Manufacture of coke oven products,EUR
Activity,Petroleum Refinery,EUR
Activity,Processing of nuclear fuel,EUR
Activity,"Plastics, basic",EUR
Activity,Re-processing of secondary plastic into new plastic,EUR
Activity,N-fertiliser,EUR
Activity,P- and other fertiliser,EUR
Activity,Chemicals nec,EUR
Activity,Manufacture of rubber and plastic products (25),EUR
Activity,Manufacture of glass and glass products,EUR
Activity,Re-processing of secondary glass into new glass,EUR
Activity,Manufacture of ceramic goods,EUR
Activity,"Manufacture of bricks, tiles and construction products, in baked clay",EUR
Activity,"Manufacture of cement, lime and plaster",EUR
Activity,Re-processing of ash into clinker,EUR
Activity,Manufacture of other non-metallic mineral products n.e.c.,EUR
Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,EUR
Activity,Re-processing of secondary steel into new steel,EUR
Activity,Precious metals production,EUR
Activity,Re-processing of secondary preciuos metals into new preciuos metals,EUR
Activity,Aluminium production,EUR
Activity,Re-processing of secondary aluminium into new aluminium,EUR
Activity,"Lead, zinc and tin production",EUR
Activity,"Re-processing of secondary lead into new lead, zinc and tin",EUR
Activity,Copper production,EUR
Activity,Re-processing of secondary copper into new copper,EUR
Activity,Other non-ferrous metal production,EUR
Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,EUR
Activity,Casting of metals,EUR
Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",EUR
Activity,Manufacture of machinery and equipment n.e.c. (29),EUR
Activity,Manufacture of office machinery and computers (30),EUR
Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),EUR
Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",EUR
Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",EUR
Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",EUR
Activity,Manufacture of other transport equipment (35),EUR
Activity,Manufacture of furniture; manufacturing n.e.c. (36),EUR
Activity,Recycling of waste and scrap,EUR
Activity,Recycling of bottles by direct reuse,EUR
Activity,Production of electricity by coal,EUR
Activity,Production of electricity by gas,EUR
Activity,Production of electricity by nuclear,EUR
Activity,Production of electricity by hydro,EUR
Activity,Production of electricity by wind,EUR
Activity,Production of electricity by petroleum and other oil derivatives,EUR
Activity,Production of electricity by biomass and waste,EUR
Activity,Production of electricity by solar photovoltaic,EUR
Activity,Production of electricity by solar thermal,EUR
Activity,"Production of electricity by tide, wave, ocean",EUR
Activity,Production of electricity by Geothermal,EUR
Activity,Production of electricity nec,EUR
Activity,Transmission of electricity,EUR
Activity,Distribution and trade of electricity,EUR
Activity,Manufacture of gas; distribution of gaseous fuels through mains,EUR
Activity,Steam and hot water supply,EUR
Activity,"Collection, purification and distribution of water (41)",EUR
Activity,Construction (45),EUR
Activity,Re-processing of secondary construction material into aggregates,EUR
Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",EUR
Activity,Retail sale of automotive fuel,EUR
Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",EUR
Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",EUR
Activity,Hotels and restaurants (55),EUR
Activity,Transport via railways,EUR
Activity,Other land transport,EUR
Activity,Transport via pipelines,EUR
Activity,Sea and coastal water transport,EUR
Activity,Inland water transport,EUR
Activity,Air transport (62),EUR
Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),EUR
Activity,Post and telecommunications (64),EUR
Activity,"Financial intermediation, except insurance and pension funding (65)",EUR
Activity,"Insurance and pension funding, except compulsory social security (66)",EUR
Activity,Activities auxiliary to financial intermediation (67),EUR
Activity,Real estate activities (70),EUR
Activity,Renting of machinery and equipment without operator and of personal and household goods (71),EUR
Activity,Computer and related activities (72),EUR
Activity,Research and development (73),EUR
Activity,Other business activities (74),EUR
Activity,Public administration and defence; compulsory social security (75),EUR
